common_opponents_count,p2_current_streak_count,ranking_ratio,p2_form_win_percentage,p1_current_streak_count,p1_ranking_momentum_score,ranking_diff,p1_ranking,p1_surface_specialization_score,p2_form_recent_score,p2_ranking_momentum_score,p1_common_opponents_score,p2_surface_specialization_score,p1_pts,p1_strength_of_schedule_score,match_competitiveness,p2_pts,p1_elo,p1_form_win_percentage,p2_form_losses,p2_common_opponents_score,p2_elo,p1_form_recent_score,p2_regional_comfort_win_rate,p2_ranking,elo_diff,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
3,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.64,1.53,0.51,0.0,0.52,1856.0,0.1,1,840.0,1935,60.0,4.0,0.52,1853,1.52,60.0,89.0,82,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
3,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.64,1.53,0.51,0.0,0.52,1856.0,0.1,1,840.0,1935,60.0,4.0,0.52,1853,1.52,60.0,89.0,82,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,1,2.8607594936708862,45.0,1,0.99,148.0,226.0,0.0,1.54,1.03,-0.0,0.0,256.0,0.23,0,747.0,1717,60.0,11.0,-0.0,1742,1.62,33.3,78.0,-25,Grass,Buena,victorias,Regular,victorias,player2,False,True,False
1,1,2.8607594936708862,45.0,1,0.99,148.0,226.0,0.0,1.54,1.03,-0.0,0.0,256.0,0.23,0,747.0,1717,60.0,11.0,-0.0,1742,1.62,33.3,78.0,-25,Grass,Buena,victorias,Regular,victorias,player2,False,True,False
9,3,0.5621621621621622,55.0,1,1.03,-80.0,104.0,0.0,1.59,1.0,0.04,0.49,596.0,0.27,1,315.0,1680,55.0,9.0,0.05,1659,1.48,58.3,184.0,21,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
9,3,0.5621621621621622,55.0,1,1.03,-80.0,104.0,0.0,1.59,1.0,0.04,0.49,596.0,0.27,1,315.0,1680,55.0,9.0,0.05,1659,1.48,58.3,184.0,21,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
1,3,0.29916897506925205,70.0,1,1.03,-252.0,108.0,0.0,1.72,0.97,-0.0,0.49,579.0,0.27,0,137.0,1700,50.0,6.0,-0.0,1692,1.57,100.0,360.0,8,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
1,3,0.29916897506925205,70.0,1,1.03,-252.0,108.0,0.0,1.72,0.97,-0.0,0.49,579.0,0.27,0,137.0,1700,50.0,6.0,-0.0,1692,1.57,100.0,360.0,8,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
5,1,0.8734939759036144,65.0,1,1.01,-20.0,145.0,0.0,1.62,1.01,0.0,0.0,408.0,0.27,2,348.0,1541,30.0,7.0,0.04,1706,1.36,40.0,165.0,-165,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
5,1,0.8734939759036144,65.0,1,1.01,-20.0,145.0,0.0,1.62,1.01,0.0,0.0,408.0,0.27,2,348.0,1541,30.0,7.0,0.04,1706,1.36,40.0,165.0,-165,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
7,1,1.169811320754717,55.0,1,1.02,19.0,124.0,0.0,1.57,1.03,0.0,0.0,504.0,0.27,2,590.0,1635,40.0,9.0,0.03,1750,1.44,50.0,105.0,-115,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
7,1,1.169811320754717,55.0,1,1.02,19.0,124.0,0.0,1.57,1.03,0.0,0.0,504.0,0.27,2,590.0,1635,40.0,9.0,0.03,1750,1.44,50.0,105.0,-115,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
5,1,1.77,25.0,1,1.0,78.0,177.0,0.0,1.36,1.03,0.02,0.0,329.0,0.27,1,626.0,1688,50.0,15.0,0.02,1629,1.5,20.0,99.0,59,Grass,Regular,victorias,Mala,victorias,player1,False,True,False
5,1,1.77,25.0,1,1.0,78.0,177.0,0.0,1.36,1.03,0.02,0.0,329.0,0.27,1,626.0,1688,50.0,15.0,0.02,1629,1.5,20.0,99.0,59,Grass,Regular,victorias,Mala,victorias,player1,False,True,False
5,1,1.083916083916084,60.0,1,1.01,13.0,155.0,0.0,1.57,1.01,0.0,0.0,385.0,0.26,2,412.0,1675,50.0,8.0,0.04,1736,1.52,75.0,142.0,-61,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
5,1,1.083916083916084,60.0,1,1.01,13.0,155.0,0.0,1.57,1.01,0.0,0.0,385.0,0.26,2,412.0,1675,50.0,8.0,0.04,1736,1.52,75.0,142.0,-61,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
3,1,1.4903225806451612,60.0,1,0.99,77.0,231.0,0.0,1.64,1.01,0.0,0.0,250.0,0.18,1,386.0,1680,65.0,8.0,0.0,1668,1.62,75.0,154.0,12,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
3,1,1.4903225806451612,60.0,1,0.99,77.0,231.0,0.0,1.64,1.01,0.0,0.0,250.0,0.18,1,386.0,1680,65.0,8.0,0.0,1668,1.62,75.0,154.0,12,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
3,1,2.088888888888889,55.0,1,0.99,148.0,282.0,0.24,1.55,1.02,0.02,0.0,243.0,0.27,0,563.0,1699,55.0,9.0,0.02,1749,1.55,81.8,134.0,-50,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
3,1,2.088888888888889,55.0,1,0.99,148.0,282.0,0.24,1.55,1.02,0.02,0.0,243.0,0.27,0,563.0,1699,55.0,9.0,0.02,1749,1.55,81.8,134.0,-50,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
1,10,0.54,65.0,-4,1.03,-91.0,108.0,0.59,1.88,1.01,-0.0,0.0,724.0,0.27,1,366.0,1670,40.0,7.0,-0.0,1734,1.4,25.0,199.0,-64,Grass,Regular,derrotas,Buena,victorias,player2,False,True,False
1,10,0.54,65.0,-4,1.03,-91.0,108.0,0.59,1.88,1.01,-0.0,0.0,724.0,0.27,1,366.0,1670,40.0,7.0,-0.0,1734,1.4,25.0,199.0,-64,Grass,Regular,derrotas,Buena,victorias,player2,False,True,False
