p1_rivalry_score,p2_common_opponents_score,p1_elo,p1_form_win_percentage,ranking_diff,match_competitiveness,p2_elo,p1_ranking,p1_surface_specialization_score,p2_form_wins,p2_form_losses,p2_surface_specialization_score,p2_form_win_percentage,ranking_ratio,p2_pts,p1_form_recent_score,p2_ranking,common_opponents_count,p1_pts,elo_diff,p2_form_recent_score,p2_strength_of_schedule_score,p1_form_wins,p1_strength_of_schedule_score,p1_current_streak_count,p1_form_losses,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
0.0,-0.0,1689,50.0,-83.0,1,1793,8.0,0.52,13.0,7.0,0.0,65.0,0.08695652173913043,155.0,1.57,91.0,1,319.0,-104,1.64,0.27,10.0,0.27,1,10.0,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
0.0,0.05,1736,60.0,138.0,0,1870,200.0,0.59,12.0,8.0,0.56,60.0,3.1746031746031744,169.0,1.71,62.0,5,132.0,-134,1.78,0.27,12.0,0.27,6,8.0,Grass,Buena,victorias,Buena,victorias,player1,False,True,False
0.0092,0.0,1662,55.0,62.0,1,1549,139.0,0.0,7.0,13.0,0.0,35.0,1.7820512820512822,161.0,1.51,77.0,4,142.0,113,1.36,0.26,11.0,0.19,-1,9.0,Grass,Regular,derrotas,Mala,derrotas,player1,False,True,False
0.0,-0.0,1425,30.0,28.0,2,1660,96.0,0.0,11.0,9.0,0.0,55.0,1.391304347826087,165.0,1.36,68.0,0,153.0,-235,1.55,0.24,6.0,0.21,-2,14.0,Grass,Mala,derrotas,Regular,derrotas,player1,False,True,False
2.5,0.0,1658,60.0,173.0,0,1630,197.0,0.0,9.0,11.0,0.48,45.0,7.88,217.0,1.56,24.0,4,132.0,28,1.42,0.19,12.0,0.21,-1,8.0,Grass,Buena,derrotas,Regular,derrotas,player1,False,True,False
10.0379,-0.0,1673,55.0,92.0,1,1613,116.0,0.0,12.0,8.0,0.45,60.0,4.64,217.0,1.58,24.0,2,147.0,60,1.56,0.16,11.0,0.26,-1,9.0,Grass,Regular,derrotas,Buena,derrotas,player2,False,True,False
5.011,-0.0,1626,50.0,100.0,1,1527,200.0,0.0,7.0,13.0,0.0,35.0,1.9801980198019802,152.0,1.52,100.0,2,132.0,99,1.41,0.2,10.0,0.12,-2,10.0,Grass,Regular,derrotas,Mala,derrotas,player1,False,True,False
6.5312,-0.0,1773,70.0,18.0,2,1791,200.0,0.53,12.0,8.0,0.55,60.0,1.092896174863388,134.0,1.81,182.0,2,132.0,-18,1.83,0.27,14.0,0.27,4,6.0,Grass,Buena,victorias,Buena,victorias,player1,False,True,False
5.0413,0.03,1788,50.0,0.0,3,1759,200.0,0.0,12.0,8.0,0.55,60.0,0.9950248756218906,132.0,1.52,200.0,5,132.0,29,1.57,0.27,10.0,0.27,1,10.0,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
6.5447,0.0,1633,30.0,-173.0,0,1685,24.0,0.52,12.0,8.0,0.35,60.0,0.12121212121212122,132.0,1.43,197.0,3,217.0,-52,1.62,0.2,6.0,0.27,1,14.0,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
