p1_common_opponents_score,p1_strength_of_schedule_score,match_competitiveness,p2_ranking_momentum_score,p2_ranking,p1_surface_specialization_score,p2_surface_specialization_score,ranking_diff,p2_current_streak_count,common_opponents_count,p1_ranking,p2_regional_comfort_win_rate,p2_form_recent_score,p2_pts,ranking_ratio,elo_diff,p2_form_win_percentage,p2_elo,p1_pts,p2_common_opponents_score,p2_form_losses,p1_ranking_momentum_score,p1_current_streak_count,p1_elo,p1_form_win_percentage,p1_form_recent_score,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.75,0.1,3,0.52,8.0,0.73,0.67,6.0,5,9,14.0,66.7,1.38,3881.0,1.5555555555555556,33,85.0,2031,2507.0,0.0,3.0,0.52,17,2064,90.0,1.38,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,1,0.51,89.0,0.64,0.52,-68.0,8,3,21.0,60.0,1.53,840.0,0.23333333333333334,82,80.0,1853,1856.0,0.52,4.0,0.52,5,1935,60.0,1.52,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
-0.0,0.23,0,1.03,78.0,0.0,0.0,148.0,1,1,226.0,33.3,1.54,747.0,2.8607594936708862,-25,45.0,1742,256.0,-0.0,11.0,0.99,1,1717,60.0,1.62,Grass,Buena,victorias,Regular,victorias,player2,False,True,False
-0.0,0.23,0,1.03,78.0,0.0,0.0,148.0,1,1,226.0,33.3,1.54,747.0,2.8607594936708862,-25,45.0,1742,256.0,-0.0,11.0,0.99,1,1717,60.0,1.62,Grass,Buena,victorias,Regular,victorias,player2,False,True,False
0.04,0.27,1,1.0,184.0,0.0,0.49,-80.0,3,9,104.0,58.3,1.59,315.0,0.5621621621621622,21,55.0,1659,596.0,0.05,9.0,1.03,1,1680,55.0,1.48,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
0.04,0.27,1,1.0,184.0,0.0,0.49,-80.0,3,9,104.0,58.3,1.59,315.0,0.5621621621621622,21,55.0,1659,596.0,0.05,9.0,1.03,1,1680,55.0,1.48,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
-0.0,0.27,0,0.97,360.0,0.0,0.49,-252.0,3,1,108.0,100.0,1.72,137.0,0.29916897506925205,8,70.0,1692,579.0,-0.0,6.0,1.03,1,1700,50.0,1.57,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
-0.0,0.27,0,0.97,360.0,0.0,0.49,-252.0,3,1,108.0,100.0,1.72,137.0,0.29916897506925205,8,70.0,1692,579.0,-0.0,6.0,1.03,1,1700,50.0,1.57,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
0.0,0.27,2,1.01,165.0,0.0,0.0,-20.0,1,5,145.0,40.0,1.62,348.0,0.8734939759036144,-165,65.0,1706,408.0,0.04,7.0,1.01,1,1541,30.0,1.36,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
0.0,0.27,2,1.01,165.0,0.0,0.0,-20.0,1,5,145.0,40.0,1.62,348.0,0.8734939759036144,-165,65.0,1706,408.0,0.04,7.0,1.01,1,1541,30.0,1.36,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
0.0,0.27,2,1.03,105.0,0.0,0.0,19.0,1,7,124.0,50.0,1.57,590.0,1.169811320754717,-115,55.0,1750,504.0,0.03,9.0,1.02,1,1635,40.0,1.44,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
0.0,0.27,2,1.03,105.0,0.0,0.0,19.0,1,7,124.0,50.0,1.57,590.0,1.169811320754717,-115,55.0,1750,504.0,0.03,9.0,1.02,1,1635,40.0,1.44,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
0.02,0.27,1,1.03,99.0,0.0,0.0,78.0,1,5,177.0,20.0,1.36,626.0,1.77,59,25.0,1629,329.0,0.02,15.0,1.0,1,1688,50.0,1.5,Grass,Regular,victorias,Mala,victorias,player1,False,True,False
0.02,0.27,1,1.03,99.0,0.0,0.0,78.0,1,5,177.0,20.0,1.36,626.0,1.77,59,25.0,1629,329.0,0.02,15.0,1.0,1,1688,50.0,1.5,Grass,Regular,victorias,Mala,victorias,player1,False,True,False
0.0,0.26,2,1.01,142.0,0.0,0.0,13.0,1,5,155.0,75.0,1.57,412.0,1.083916083916084,-61,60.0,1736,385.0,0.04,8.0,1.01,1,1675,50.0,1.52,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
0.0,0.26,2,1.01,142.0,0.0,0.0,13.0,1,5,155.0,75.0,1.57,412.0,1.083916083916084,-61,60.0,1736,385.0,0.04,8.0,1.01,1,1675,50.0,1.52,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
0.0,0.18,1,1.01,154.0,0.0,0.0,77.0,1,3,231.0,75.0,1.64,386.0,1.4903225806451612,12,60.0,1668,250.0,0.0,8.0,0.99,1,1680,65.0,1.62,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
0.0,0.18,1,1.01,154.0,0.0,0.0,77.0,1,3,231.0,75.0,1.64,386.0,1.4903225806451612,12,60.0,1668,250.0,0.0,8.0,0.99,1,1680,65.0,1.62,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
0.02,0.27,0,1.02,134.0,0.24,0.0,148.0,1,3,282.0,81.8,1.55,563.0,2.088888888888889,-50,55.0,1749,243.0,0.02,9.0,0.99,1,1699,55.0,1.55,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
0.02,0.27,0,1.02,134.0,0.24,0.0,148.0,1,3,282.0,81.8,1.55,563.0,2.088888888888889,-50,55.0,1749,243.0,0.02,9.0,0.99,1,1699,55.0,1.55,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
-0.0,0.27,1,1.01,199.0,0.59,0.0,-91.0,10,1,108.0,25.0,1.88,366.0,0.54,-64,65.0,1734,724.0,-0.0,7.0,1.03,-4,1670,40.0,1.4,Grass,Regular,derrotas,Buena,victorias,player2,False,True,False
-0.0,0.27,1,1.01,199.0,0.59,0.0,-91.0,10,1,108.0,25.0,1.88,366.0,0.54,-64,65.0,1734,724.0,-0.0,7.0,1.03,-4,1670,40.0,1.4,Grass,Regular,derrotas,Buena,victorias,player2,False,True,False
