p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
127.0,-1,1.78,250.0,1843,0.99,1682,1.03,617.0,0.09,-2,0,0.0,0.0,11.0,0.0,149.0,0.0,85.0,2.15625,276.0,161,2,1.46,45.0,46.40720418407468,Grass,Excelente,derrotas,Regular,derrotas,player1,False,True,False
283.9223036311166,-1,1.52,961.0,1750,1.15,1493,0.0,496.96808714587195,0.27,-1,0,-0.0,0.0,3.0,0.0,-247.22033212582343,-0.0,50.0,0.3626115258749116,68.0,257,0,1.45,40.0,45.353960358639405,Grass,Regular,derrotas,Regular,derrotas,player1,False,True,False
172.0,-2,1.56,532.0,1791,1.02,1746,1.02,431.0,0.27,-1,2,0.03,0.0,7.0,0.0,-29.0,0.02,65.0,0.8265895953757225,143.0,45,4,1.56,65.0,49.250222380938204,Grass,Buena,derrotas,Buena,derrotas,player2,False,True,False
92.0,-4,1.33,463.0,1665,1.02,1808,1.04,820.0,0.27,-1,1,0.15,0.0,7.0,0.39,71.0,0.07,45.0,1.7526881720430108,163.0,-143,11,1.48,65.0,35.31746677339554,Grass,Regular,derrotas,Buena,derrotas,player2,False,True,False
177.0,-1,1.65,428.0,1793,1.01,1769,1.01,413.0,0.27,-1,3,-0.0,0.0,6.0,0.47,-4.0,-0.0,65.0,0.9719101123595506,173.0,24,1,1.58,70.0,65.87463911385885,Grass,Buena,derrotas,Buena,derrotas,player2,False,True,False
120.0,-1,1.56,404.0,1651,1.01,1685,1.02,522.0,0.26,-2,2,0.01,0.0,10.0,0.0,29.0,0.02,65.0,1.2314049586776858,149.0,-34,4,1.48,50.0,72.08525321948208,Grass,Buena,derrotas,Regular,derrotas,player1,False,True,False
334.0,-2,1.41,344.0,1568,1.01,1743,0.97,150.0,0.27,-2,0,0.0,0.55,9.0,0.0,-165.0,0.0,35.0,0.5044776119402985,169.0,-175,3,1.55,55.0,58.505669393067095,Grass,Mala,derrotas,Regular,derrotas,player2,False,True,False
131.0,-1,1.58,250.0,1688,0.99,1626,1.02,465.0,0.19,-3,1,-0.0,0.51,11.0,0.0,100.0,-0.0,60.0,1.75,231.0,62,0,1.49,45.0,72.20611725665044,Grass,Buena,derrotas,Regular,derrotas,player2,False,True,False
148.0,-1,1.63,411.0,1741,1.01,1811,1.01,404.0,0.27,-1,3,-0.0,0.0,5.0,0.0,-5.0,-0.0,70.0,0.959731543624161,143.0,-70,0,1.66,75.0,67.95594935087337,Grass,Buena,derrotas,Excelente,derrotas,player2,False,True,False
775.0,1,1.32,1.0,1552,0.35,1550,0.58,38.0,0.0,1,0,0.0,0.44,11.0,0.42,1342.0,0.0,45.5,2.7280927835051547,2117.0,2,1,1.27,45.0,45.123336892097576,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
